id,speed,travel_time,status,data_as_of,link_id,link_name,link_points,encoded_poly_line,borough,owner,transcom_id,data_id
1,33.0,32.7,OK,2026-01-15T08:00:00.000,CHD_MM_001,Madhya Marg - Sec 1 to 2,"30.765,76.7764",,CHANDIGARH,CHDTA,1001,1
2,25.0,43.2,OK,2026-01-15T08:00:00.000,CHD_MM_002,Madhya Marg - Sec 2 to 3,"30.7623,76.7747",,CHANDIGARH,CHDTA,1002,2
3,29.9,36.1,OK,2026-01-15T08:00:00.000,CHD_MM_003,Madhya Marg - Sec 3 to 4,"30.7595,76.7754",,CHANDIGARH,CHDTA,1003,3
4,25.3,42.7,OK,2026-01-15T08:00:00.000,CHD_MM_004,Madhya Marg - Sec 4 to 5,"30.7568,76.7752",,CHANDIGARH,CHDTA,1004,4
5,38.9,27.8,OK,2026-01-15T08:00:00.000,CHD_MM_005,Madhya Marg - Sec 5 to 6,"30.7541,76.7767",,CHANDIGARH,CHDTA,1005,5
6,38.2,28.3,OK,2026-01-15T08:00:00.000,CHD_MM_006,Madhya Marg - Sec 6 to 7,"30.7514,76.7765",,CHANDIGARH,CHDTA,1006,6
7,37.5,28.8,OK,2026-01-15T08:00:00.000,CHD_MM_007,Madhya Marg - Sec 7 to 8,"30.7486,76.7771",,CHANDIGARH,CHDTA,1007,7
8,29.6,36.5,OK,2026-01-15T08:00:00.000,CHD_MM_008,Madhya Marg - Sec 8 to 9,"30.7459,76.7748",,CHANDIGARH,CHDTA,1008,8
9,25.9,41.7,OK,2026-01-15T08:00:00.000,CHD_MM_009,Madhya Marg - Sec 9 to 10,"30.7432,76.7758",,CHANDIGARH,CHDTA,1009,9
10,38.2,28.3,OK,2026-01-15T08:00:00.000,CHD_MM_010,Madhya Marg - Sec 10 to 11,"30.7405,76.7747",,CHANDIGARH,CHDTA,1010,10
11,39.2,27.6,OK,2026-01-15T08:00:00.000,CHD_MM_011,Madhya Marg - Sec 11 to 12,"30.7377,76.7752",,CHANDIGARH,CHDTA,1011,11
12,26.3,41.1,OK,2026-01-15T08:00:00.000,CHD_MM_012,Madhya Marg - Sec 12 to 13,"30.735,76.776",,CHANDIGARH,CHDTA,1012,12
13,32.3,33.4,OK,2026-01-15T08:00:00.000,CHD_MM_013,Madhya Marg - Sec 13 to 14,"30.7323,76.7747",,CHANDIGARH,CHDTA,1013,13
14,26.0,41.5,OK,2026-01-15T08:00:00.000,CHD_MM_014,Madhya Marg - Sec 14 to 15,"30.7295,76.7752",,CHANDIGARH,CHDTA,1014,14
15,36.4,29.7,OK,2026-01-15T08:00:00.000,CHD_MM_015,Madhya Marg - Sec 15 to 16,"30.7268,76.7764",,CHANDIGARH,CHDTA,1015,15
16,36.5,29.6,OK,2026-01-15T08:00:00.000,CHD_MM_016,Madhya Marg - Sec 16 to 17,"30.7241,76.7761",,CHANDIGARH,CHDTA,1016,16
17,26.9,40.1,OK,2026-01-15T08:00:00.000,CHD_MM_017,Madhya Marg - Sec 17 to 18,"30.7214,76.7752",,CHANDIGARH,CHDTA,1017,17
18,32.1,33.6,OK,2026-01-15T08:00:00.000,CHD_MM_018,Madhya Marg - Sec 18 to 19,"30.7186,76.7762",,CHANDIGARH,CHDTA,1018,18
19,33.2,32.5,OK,2026-01-15T08:00:00.000,CHD_MM_019,Madhya Marg - Sec 19 to 20,"30.7159,76.7769",,CHANDIGARH,CHDTA,1019,19
20,29.0,37.2,OK,2026-01-15T08:00:00.000,CHD_MM_020,Madhya Marg - Sec 20 to 21,"30.7132,76.7746",,CHANDIGARH,CHDTA,1020,20
21,38.1,28.3,OK,2026-01-15T08:00:00.000,CHD_MM_021,Madhya Marg - Sec 21 to 22,"30.7105,76.7769",,CHANDIGARH,CHDTA,1021,21
22,31.3,34.5,OK,2026-01-15T08:00:00.000,CHD_MM_022,Madhya Marg - Sec 22 to 23,"30.7077,76.7766",,CHANDIGARH,CHDTA,1022,22
